genome_ID	strain_taxid	species_taxid	organism_name	id
GCF_009730575.1_ASM973057v1	24.1	24	Shewanella putrefaciens	/path/to/GCF_009730575.1_ASM973057v1_genomic.fna
GCF_016406325.1_ASM1640632v1	24.2	24	Shewanella putrefaciens	/path/to/GCF_016406325.1_ASM1640632v1_genomic.fna
GCF_025402875.1_ASM2540287v1	24.3	24	Shewanella putrefaciens	/path/to/GCF_025402875.1_ASM2540287v1_genomic.fna
GCF_006402015.1_ASM640201v1	34.1	34	Myxococcus xanthus	/path/to/GCF_006402015.1_ASM640201v1_genomic.fna
GCF_006400955.1_ASM640095v1	34.2	34	Myxococcus xanthus	/path/to/GCF_006400955.1_ASM640095v1_genomic.fna
GCF_006401635.1_ASM640163v1	34.3	34	Myxococcus xanthus	/path/to/GCF_006401635.1_ASM640163v1_genomic.fna
GCF_006401215.1_ASM640121v1	34.4	34	Myxococcus xanthus	/path/to/GCF_006401215.1_ASM640121v1_genomic.fna
GCF_006402735.1_ASM640273v1	34.5	34	Myxococcus xanthus	/path/to/GCF_006402735.1_ASM640273v1_genomic.fna
GCF_016698685.1_ASM1669868v1	34.6	34	Myxococcus xanthus	/path/to/GCF_016698685.1_ASM1669868v1_genomic.fna
GCF_000219105.1_ASM21910v1	35	35	Corallococcus macrosporus	/path/to/GCF_000219105.1_ASM21910v1_genomic.fna
GCF_002305875.1_ASM230587v1	43	43	Cystobacter fuscus	/path/to/GCF_002305875.1_ASM230587v1_genomic.fna
GCF_001027285.1_ASM102728v1	48	48	Archangium gephyra	/path/to/GCF_001027285.1_ASM102728v1_genomic.fna
GCF_001189295.1_ASM118929v1	52	52	Chondromyces crocatus	/path/to/GCF_001189295.1_ASM118929v1_genomic.fna
GCF_004135755.1_ASM413575v1	56	56	Sorangium cellulosum	/path/to/GCF_004135755.1_ASM413575v1_genomic.fna
GCF_022870945.1_ASM2287094v1	61	61	Vitreoscilla stercoraria	/path/to/GCF_022870945.1_ASM2287094v1_genomic.fna
GCF_002222655.1_ASM222265v1	63	63	Vitreoscilla filiformis	/path/to/GCF_002222655.1_ASM222265v1_genomic.fna
GCF_005954665.1_ASM595466v1	69.1	69	Lysobacter enzymogenes	/path/to/GCF_005954665.1_ASM595466v1_genomic.fna
GCF_023617245.1_ASM2361724v1	69.2	69	Lysobacter enzymogenes	/path/to/GCF_023617245.1_ASM2361724v1_genomic.fna
GCF_002024615.2_ASM202461v2	69.3	69	Lysobacter enzymogenes	/path/to/GCF_002024615.2_ASM202461v2_genomic.fna
GCF_020162275.1_ASM2016227v1	72	72	Simonsiella muelleri	/path/to/GCF_020162275.1_ASM2016227v1_genomic.fna
GCF_006738645.1_ASM673864v1	94	94	Stella humosa	/path/to/GCF_006738645.1_ASM673864v1_genomic.fna
